,Unnamed: 0,title,section,subsection,p_number,shorturl,pubinfo,text
0,0,Abduction,1. Abduction: The General Idea,,0,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021", You happen to know that Tim and Harry have recently had a terrible row that ended their friendship. Now someone tells you that she just saw Tim and Harry jogging together. The best explanation for this that you can think of is that they made up. You conclude that they are friends again.
1,1,Abduction,1. Abduction: The General Idea,,1,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," One morning you enter the kitchen to find a plate and cup on the table, with breadcrumbs and a pat of butter on it, and surrounded by a jar of jam, a pack of sugar, and an empty carton of milk. You conclude that one of your house-mates got up at night to make him- or herself a midnight snack and was too tired to clear the table. This, you think, best explains the scene you are facing. To be sure, it might be that someone burgled the house and took the time to have a bite while on the job, or a house-mate might have arranged the things on the table without having a midnight snack but just to make you believe that someone had a midnight snack. But these hypotheses strike you as providing much more contrived explanations of the data than the one you infer to."
2,2,Abduction,1. Abduction: The General Idea,,2,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," Walking along the beach, you see what looks like a picture of Winston Churchill in the sand. It could be that, as in the opening pages of Hilary Putnam’s book Reason, Truth, and History, (1981), what you see is actually the trace of an ant crawling on the beach. The much simpler, and therefore (you think) much better, explanation is that someone intentionally drew a picture of Churchill in the sand. That, in any case, is what you come away believing."
3,3,Abduction,1. Abduction: The General Idea,,3,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," In these examples, the conclusions do not follow logically from the premises. For instance, it does not follow logically that Tim and Harry are friends again from the premises that they had a terrible row which ended their friendship and that they have just been seen jogging together; it does not even follow, we may suppose, from all the information you have about Tim and Harry. Nor do you have any useful statistical data about friendships, terrible rows, and joggers that might warrant an inference from the information that you have about Tim and Harry to the conclusion that they are friends again, or even to the conclusion that, probably (or with a certain probability), they are friends again. What leads you to the conclusion, and what according to a considerable number of philosophers may also warrant this conclusion, is precisely the fact that Tim and Harry’s being friends again would, if true, best explain the fact that they have just been seen jogging together. (The proviso that a hypothesis be true if it is to explain anything is taken as read from here on.) Similar remarks apply to the other two examples. The type of inference exhibited here is called abduction or, somewhat more commonly nowadays, Inference to the Best Explanation."
4,4,Abduction,1. Abduction: The General Idea,"1.1 Deduction, induction, abduction",0,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," Abduction is normally thought of as being one of three major types of inference, the other two being deduction and induction. The distinction between deduction, on the one hand, and induction and abduction, on the other hand, corresponds to the distinction between necessary and non-necessary inferences. In deductive inferences, what is inferred is necessarily true if the premises from which it is inferred are true; that is, the truth of the premises guarantees the truth of the conclusion. A familiar type of example is inferences instantiating the schema"
5,5,Abduction,1. Abduction: The General Idea,"1.1 Deduction, induction, abduction",1,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," All As are Bs.  a is an A.  Hence, a is a B. "
6,6,Abduction,1. Abduction: The General Idea,"1.1 Deduction, induction, abduction",2,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," But not all inferences are of this variety. Consider, for instance, the inference of “John is rich” from “John lives in Chelsea” and “Most people living in Chelsea are rich.” Here, the truth of the first sentence is not guaranteed (but only made likely) by the joint truth of the second and third sentences. Differently put, it is not necessarily the case that if the premises are true, then so is the conclusion: it is logically compatible with the truth of the premises that John is a member of the minority of non-rich inhabitants of Chelsea. The case is similar regarding your inference to the conclusion that Tim and Harry are friends again on the basis of the information that they have been seen jogging together. Perhaps Tim and Harry are former business partners who still had some financial matters to discuss, however much they would have liked to avoid this, and decided to combine this with their daily exercise; this is compatible with their being firmly decided never to make up."
7,7,Abduction,1. Abduction: The General Idea,"1.1 Deduction, induction, abduction",3,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," It is standard practice to group non-necessary inferences into inductive and abductive ones. Inductive inferences form a somewhat heterogeneous class, but for present purposes they may be characterized as those inferences that are based purely on statistical data, such as observed frequencies of occurrences of a particular feature in a given population. An example of such an inference would be this:"
8,8,Abduction,1. Abduction: The General Idea,"1.1 Deduction, induction, abduction",4,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," 96 per cent of the Flemish college students speak both Dutch and French.  Louise is a Flemish college student.  Hence, Louise speaks both Dutch and French. "
9,9,Abduction,1. Abduction: The General Idea,"1.1 Deduction, induction, abduction",5,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," However, the relevant statistical information may also be more vaguely given, as in the premise, “Most people living in Chelsea are rich.” (There is much discussion about whether the conclusion of an inductive argument can be stated in purely qualitative terms or whether it should be a quantitative one—for instance, that it holds with a probability of .96 that Louise speaks both Dutch and French—or whether it can sometimes be stated in qualitative terms—for instance, if the probability that it is true is high enough—and sometimes not. On these and other issues related to induction, see Kyburg 1990 (Ch. 4). It should also be mentioned that Harman (1965) conceives induction as a special type of abduction. See also Weintraub 2013 for discussion.)"
10,10,Abduction,1. Abduction: The General Idea,"1.1 Deduction, induction, abduction",6,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," The mere fact that an inference is based on statistical data is not enough to classify it as an inductive one. You may have observed many gray elephants and no non-gray ones, and infer from this that all elephants are gray, because that would provide the best explanation for why you have observed so many gray elephants and no non-gray ones. This would be an instance of an abductive inference. It suggests that the best way to distinguish between induction and abduction is this: both are ampliative, meaning that the conclusion goes beyond what is (logically) contained in the premises (which is why they are non-necessary inferences), but in abduction there is an implicit or explicit appeal to explanatory considerations, whereas in induction there is not; in induction, there is only an appeal to observed frequencies or statistics. (I emphasize “only,” because in abduction there may also be an appeal to frequencies or statistics, as the example about the elephants exhibits.)"
11,11,Abduction,1. Abduction: The General Idea,"1.1 Deduction, induction, abduction",7,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," A noteworthy feature of abduction, which it shares with induction but not with deduction, is that it violates monotonicity, meaning that it may be possible to infer abductively certain conclusions from a subset of a set S of premises which cannot be inferred abductively from S as a whole. For instance, adding the premise that Tim and Harry are former business partners who still have some financial matters to discuss, to the premises that they had a terrible row some time ago and that they were just seen jogging together may no longer warrant you to infer that they are friends again, even if—let us suppose—the last two premises alone do warrant that inference. The reason is that what counts as the best explanation of Tim and Harry’s jogging together in light of the original premises may no longer do so once the information has been added that they are former business partners with financial matters to discuss."
12,12,Abduction,1. Abduction: The General Idea,1.2 The ubiquity of abduction,0,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," The type of inference exemplified in the cases described at the beginning of this entry will strike most as entirely familiar. Philosophers as well as psychologists tend to agree that abduction is frequently employed in everyday reasoning. Sometimes our reliance on abductive reasoning is quite obvious and explicit. But in some daily practices, it may be so routine and automatic that it easily goes unnoticed. A case in point may be our trust in other people’s testimony, which has been said to rest on abductive reasoning; see Harman 1965, Adler 1994, Fricker 1994, and Lipton 1998 for defenses of this claim. For instance, according to Jonathan Adler (1994, 274f), “[t]he best explanation for why the informant asserts that P is normally that … he believes it for duly responsible reasons and … he intends that I shall believe it too,” which is why we are normally justified in trusting the informant’s testimony. This may well be correct, even though in coming to trust a person’s testimony one does not normally seem to be aware of any abductive reasoning going on in one’s mind. Similar remarks may apply to what some hold to be a further, possibly even more fundamental, role of abduction in linguistic practice, to wit, its role in determining what a speaker means by an utterance. Specifically, it has been argued that decoding utterances is a matter of inferring the best explanation of why someone said what he or she said in the context in which the utterance was made. Even more specifically, authors working in the field of pragmatics have suggested that hearers invoke the Gricean maxims of conversation to help them work out the best explanation of a speaker’s utterance whenever the semantic content of the utterance is insufficiently informative for the purposes of the conversation, or is too informative, or off-topic, or implausible, or otherwise odd or inappropriate; see, for instance, Bach and Harnish 1979 (92f), Dascal 1979 (167), and Hobbs 2004. As in cases of reliance on speaker testimony, the requisite abductive reasoning would normally seem to take place at a subconscious level."
13,13,Abduction,1. Abduction: The General Idea,1.2 The ubiquity of abduction,1,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," Abductive reasoning is not limited to everyday contexts. Quite the contrary: philosophers of science have argued that abduction is a cornerstone of scientific methodology; see, for instance, Boyd 1981, 1984, Harré 1986, 1988, Lipton 1991, 2004, and Psillos 1999. According to Timothy Williamson (2007), “[t]he abductive methodology is the best science provides” and Ernan McMullin (1992) even goes so far to call abduction “the inference that makes science.” To illustrate the use of abduction in science, we consider two examples."
14,14,Abduction,1. Abduction: The General Idea,1.2 The ubiquity of abduction,2,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," At the beginning of the nineteenth century, it was discovered that the orbit of Uranus, one of the seven planets known at the time, departed from the orbit as predicted on the basis of Isaac Newton’s theory of universal gravitation and the auxiliary assumption that there were no further planets in the solar system. One possible explanation was, of course, that Newton’s theory is false. Given its great empirical successes for (then) more than two centuries, that did not appear to be a very good explanation. Two astronomers, John Couch Adams and Urbain Leverrier, instead suggested (independently of each other but almost simultaneously) that there was an eighth, as yet undiscovered planet in the solar system; that, they thought, provided the best explanation of Uranus’ deviating orbit. Not much later, this planet, which is now known as “Neptune,” was discovered."
15,15,Abduction,1. Abduction: The General Idea,1.2 The ubiquity of abduction,3,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," The second example concerns what is now commonly regarded to have been the discovery of the electron by the English physicist Joseph John Thomson. Thomson had conducted experiments on cathode rays in order to determine whether they are streams of charged particles. He concluded that they are indeed, reasoning as follows:"
16,16,Abduction,1. Abduction: The General Idea,1.2 The ubiquity of abduction,4,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021","   As the cathode rays carry a charge of negative electricity, are deflected by an electrostatic force as if they were negatively electrified, and are acted on by a magnetic force in just the way in which this force would act on a negatively electrified body moving along the path of these rays, I can see no escape from the conclusion that they are charges of negative electricity carried by particles of matter. (Thomson, cited in Achinstein 2001, 17) "
17,17,Abduction,1. Abduction: The General Idea,1.2 The ubiquity of abduction,5,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," The conclusion that cathode rays consist of negatively charged particles does not follow logically from the reported experimental results, nor could Thomson draw on any relevant statistical data. That nevertheless he could “see no escape from the conclusion” is, we may safely assume, because the conclusion is the best—in this case presumably even the only plausible—explanation of his results that he could think of."
18,18,Abduction,1. Abduction: The General Idea,1.2 The ubiquity of abduction,6,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," Many other examples of scientific uses of abduction have been discussed in the literature; see, for instance, Harré 1986, 1988 and Lipton 1991, 2004. Abduction is also said to be the predominant mode of reasoning in medical diagnosis: physicians tend to go for the hypothesis that best explains the patient’s symptoms (see Josephson and Josephson (eds.) 1994, 9–12; see also Dragulinescu 2016 on abductive reasoning in the context of medicine)."
19,19,Abduction,1. Abduction: The General Idea,1.2 The ubiquity of abduction,7,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," Last but not least, abduction plays a central role in some important philosophical debates. See Shalkowski 2010 on the place of abduction in metaphysics (also Bigelow 2010), Krzyżanowska, Wenmackers, and Douven 2014 and Douven 2016a for a possible role of abduction in the semantics of conditionals, and Williamson 2017 for an application of abduction in the philosophy of logic. Arguably, however, abduction plays its most notable philosophical role in epistemology and in the philosophy of science, where it is frequently invoked in objections to so-called underdetermination arguments. Underdetermination arguments generally start from the premise that a number of given hypotheses are empirically equivalent, which their authors take to mean that the evidence—indeed, any evidence we might ever come to possess—is unable to favor one of them over the others. From this, we are supposed to conclude that one can never be warranted in believing any particular one of the hypotheses. (This is rough, but it will do for present purposes; see Douven 2008 and Stanford 2009, for more detailed accounts of underdetermination arguments.) A famous instance of this type of argument is the Cartesian argument for global skepticism, according to which the hypothesis that reality is more or less the way we customarily deem it to be is empirically equivalent to a variety of so-called skeptical hypotheses (such as that we are beguiled by an evil demon, or that we are brains in a vat, connected to a supercomputer; see, e.g., Folina 2016). Similar arguments have been given in support of scientific antirealism, according to which it will never be warranted for us to choose between empirically equivalent rivals concerning what underlies the observable part of reality (van Fraassen 1980)."
20,20,Abduction,1. Abduction: The General Idea,1.2 The ubiquity of abduction,8,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," Responses to these arguments typically point to the fact that the notion of empirical equivalence at play unduly neglects explanatory considerations, for instance, by defining the notion strictly in terms of hypotheses’ making the same predictions. Those responding then argue that even if some hypotheses make exactly the same predictions, one of them may still be a better explanation of the phenomena predicted. Thus, if explanatory considerations have a role in determining which inferences we are licensed to make—as according to defenders of abduction they have—then we might still be warranted in believing in the truth (or probable truth, or some such, depending—as will be seen below—on the version of abduction one assumes) of one of a number of hypotheses that all make the same predictions. Following Bertrand Russell (1912, Ch. 2), many epistemologists have invoked abduction in arguing against Cartesian skepticism, their key claim being that even though, by construction, the skeptical hypotheses make the same predictions as the hypothesis that reality is more or less the way we ordinarily take it to be, they are not equally good explanations of what they predict; in particular, the skeptical hypotheses have been said to be considerably less simple than the “ordinary world” hypothesis. See, among many others, Harman 1973 (Chs. 8 and 11), Goldman 1988 (205), Moser 1989 (161), and Vogel 1990, 2005; see Pargetter 1984 for an abductive response specifically to skepticism regarding other minds. Similarly, philosophers of science have argued that we are warranted to believe in Special Relativity Theory as opposed to Lorentz’s version of the æther theory. For even though these theories make the same predictions, the former is explanatorily superior to the latter. (Most arguments that have been given for this claim come down to the contention that Special Relativity Theory is ontologically more parsimonious than its competitor, which postulates the existence of an æther. See Janssen 2002 for an excellent discussion of the various reasons philosophers of science have adduced for preferring Einstein’s theory to Lorentz’s.)"
21,21,Abduction,2. Explicating Abduction,,0,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," Precise statements of what abduction amounts to are rare in the literature on abduction. (Peirce did propose an at least fairly precise statement; but, as explained in the supplement to this entry, it does not capture what most nowadays understand by abduction.) Its core idea is often said to be that explanatory considerations have confirmation-theoretic import, or that explanatory success is a (not necessarily unfailing) mark of truth. Clearly, however, these formulations are slogans at best, and it takes little effort to see that they can be cashed out in a great variety of prima facie plausible ways. Here we will consider a number of such possible explications, starting with what one might term the “textbook version of abduction,” which, as will be seen, is manifestly defective, and then going on to consider various possible refinements of it. What those versions have in common—unsurprisingly—is that they are all inference rules, requiring premises encompassing explanatory considerations and yielding a conclusion that makes some statement about the truth of a hypothesis. The differences concern the premises that are required, or what exactly we are allowed to infer from them (or both)."
22,22,Abduction,2. Explicating Abduction,,1,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," In textbooks on epistemology or the philosophy of science, one often encounters something like the following as a formulation of abduction:"
23,23,Abduction,2. Explicating Abduction,,2,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," An observation that is frequently made about this rule, and that points to a potential problem for it, is that it presupposes the notions of candidate explanation and best explanation, neither of which has a straightforward interpretation. While some still hope that the former can be spelled out in purely logical, or at least purely formal, terms, it is often said that the latter must appeal to the so-called theoretical virtues, like simplicity, generality, and coherence with well-established theories; the best explanation would then be the hypothesis which, on balance, does best with respect to these virtues. (See, for instance, Thagard 1978 and McMullin 1996.) The problem is that none of the said virtues is presently particularly well understood. (Giere, in Callebaut (ed.) 1993 (232), even makes the radical claim that the theoretical virtues lack real content and play no more than a rhetorical role in science. In view of recent formal work both on simplicity and on coherence—for instance, Forster and Sober 1994, Li and Vitanyi 1997, and Sober 2015, on simplicity and Bovens and Hartmann 2003 and Olsson 2005, on coherence—the first part of this claim has become hard to maintain; also, Schupbach and Sprenger (2011) present an account of explanatory goodness directly in probabilistic terms. Psychological evidence casts doubt on the second part of the claim; see, for instance, Lombrozo 2007, on the role of simplicity in people’s assessments of explanatory goodness and Koslowski et al. 2008, on the role of coherence with background knowledge in those assessments.)"
24,24,Abduction,2. Explicating Abduction,,3,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," Furthermore, many of those who think ABD1 is headed along the right lines believe that it is too strong. Some think that abduction warrants an inference only to the probable truth of the best explanation, others that it warrants an inference only to the approximate truth of the best explanation, and still others that it warrants an inference only to the probable approximate truth."
25,25,Abduction,2. Explicating Abduction,,4,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," The real problem with ABD1 runs deeper than this, however. Because abduction is ampliative—as explained earlier—it will not be a sound rule of inference in the strict logical sense, however abduction is explicated exactly. It can still be reliable in that it mostly leads to a true conclusion whenever the premises are true. An obvious necessary condition for ABD1 to be reliable in this sense is that, mostly, when it is true that H best explains E, and E is true, then H is true as well (or H is approximately true, or probably true, or probably approximately true). But this would not be enough for ABD1 to be reliable. For ABD1 takes as its premise only that some hypothesis is the best explanation of the evidence as compared to other hypotheses in a given set. Thus, if the rule is to be reliable, it must hold that, at least typically, the best explanation relative to the set of hypotheses that we consider would also come out as being best in comparison with any other hypotheses that we might have conceived (but for lack of time or ingenuity, or for some other reason, did not conceive). In other words, it must hold that at least typically the absolutely best explanation of the evidence is to be found among the candidate explanations we have come up with, for else ABD1 may well lead us to believe “the best of a bad lot” (van Fraassen 1989, 143)."
26,26,Abduction,2. Explicating Abduction,,5,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," How reasonable is it to suppose that this extra requirement is usually fulfilled? Not at all, presumably. To believe otherwise, we must assume some sort of privilege on our part to the effect that when we consider possible explanations of the data, we are somehow predisposed to hit, inter alia, upon the absolutely best explanation of those data. After all, hardly ever will we have considered, or will it even be possible to consider, all potential explanations. As van Fraassen (1989, 144) points out, it is a priori rather implausible to hold that we are thus privileged."
27,27,Abduction,2. Explicating Abduction,,6,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," In response to this, one might argue that the challenge to show that the best explanation is always or mostly among the hypotheses considered can be met without having to assume some form of privilege (see Schupbach 2014 for a different response, and see Dellsén 2017 for discussion). For given the hypotheses we have managed to come up with, we can always generate a set of hypotheses which jointly exhaust logical space. Suppose H1,…,Hn are the candidate explanations we have so far been able to conceive. Then simply define Hn+1 := ¬H1 ∧ … ∧ ¬Hn and add this new hypothesis as a further candidate explanation to the ones we already have. Obviously, the set {H1,…,Hn+1} is exhaustive, in that one of its elements must be true. Following this in itself simple procedure would seem enough to make sure that we never miss out on the absolutely best explanation. (See Lipton 1993, for a proposal along these lines.)"
